"Marca temporal","Código de participante","Afirmaciones [1. Creo que me gustaría jugar a este juego con frecuencia.]","Afirmaciones [2. Encontré el juego innecesariamente complejo.]","Afirmaciones [3. Pensé que el juego era fácil de usar/jugar.]","Afirmaciones [4. Creo que necesitaría el apoyo de una persona técnica para poder jugar.]","Afirmaciones [5. Encontré que las diversas funciones (menús, mecánicas) del juego estaban bien integradas.]","Afirmaciones [6. Pensé que había demasiada inconsistencia en este juego.]","Afirmaciones [7. Imagino que la mayoría de la gente aprendería a jugar a este juego muy rápidamente.]","Afirmaciones [8. Encontré que el juego es muy incómodo o pesado de usar.]","Afirmaciones [9. Me sentí muy seguro/confiado jugando al juego.]","Afirmaciones [10. Necesité aprender muchas cosas antes de poder empezar a jugar bien.]","Afirmaciones [Me sentí satisfecho/a]","Afirmaciones [Me sentí feliz]","Afirmaciones [Pensé que fue divertido]","Afirmaciones [Lo disfruté]","Afirmaciones [Me sentí aburrido/a]","Afirmaciones [Me pareció cansador/a]","Afirmaciones [Me puso de mal humor]","Afirmaciones [Pensé en otras cosas]","Afirmaciones [Me sentí desafiado/a]","Afirmaciones [Pensé que fue difícil]","Afirmaciones [Tuve que esforzarme mucho]","Afirmaciones [Sentí presión de tiempo]","Afirmaciones [Me sentí frustrado/a]","Afirmaciones [Me sentí molesto/a]","Afirmaciones [Me sentí irritable]","Afirmaciones [Me sentí presionado/a]","Afirmaciones [Me olvidé de todo lo que me rodeaba]","Afirmaciones [Me pareció impresionante]","Afirmaciones [Se sintió como una experiencia rica]","Afirmaciones [Perdí la conexión con el mundo exterior]","¿Qué tan predecible te pareció el jefe? ¿Por qué?","¿Qué aspectos te parecieron más interesantes o frustrantes del combate? ¿Por qué?","¿Sentiste que el jefe aprendía o cambiaba según tus acciones? ¿Por qué?","¿Qué tan justo o injusto te pareció su comportamiento? ¿Por qué?"
"2026/06/22 3:24:30 p. m. GMT-4","P23","2","2","4","1","2","2","5","2","5","1","4","4","4","4","3","2","3","2","4","3","3","3","3","4","4","2","4","2","3","3","No tan predecible, ya que tenia diferentes formas de ataque","las bolas que lanzaba porque se iban multiplicando y no podia ver por atras ","sentia que aprendía porque las bolas se iban haciendo más mientras avanzaba el tiempo","me pareció justo porque daba tiempo a curarse"
"2026/06/22 4:45:28 p. m. GMT-4","P24","3","1","3","1","5","1","3","2","4","2","5","4","3","3","1","1","1","1","3","3","3","2","2","1","1","4","4","3","4","4","Luego de un rato peleando con el logre encontrar un patron pero sus ataques estaban muy bien equilibrados","Los distintos tipos de ataques que poseia el boss, no esperaba que un slime pudiera tener tantos ataques ","Si, dependia de la distancia de la que me encontraba con el","Bastante equilibrado, me daba el tiempo justo para atacar sin que se sientiera facil y el tiempo del combate fue perfecto para sentirlo como una victoria "
"2026/06/22 5:14:25 p. m. GMT-4","P16","4","2","3","2","4","1","5","1","4","3","5","4","4","4","1","1","1","2","4","3","2","3","1","1","1","3","4","3","4","4","Me parecio en lo justo, algunas cosas o movimientos eran esperados de un slime pero igual fue divertido y no me esperaba el ataque en que se aplanaba","Lo mas interesante creo que fue la dinámica de mazmorra, y algo un poco frustante era el esbirro que disparaba a través de las paredes, por las mismas razones","si, al menos el slime senti que se movio durante mas tiempo en la forma aplanada, para obligarme a atacar mas de cerca tal ves","me parecio justo el comportamiento de todos los mobs y el jefe, era adecuado para un nivel de testeo, lo suficientemente desafiante pero lograble con el entendimiento inicial del juego."
"2026/06/24 12:27:49 p. m. GMT-4","P14","4","1","3","1","4","1","3","2","4","2","4","5","4","5","2","1","1","1","2","2","2","1","1","1","1","2","2","3","3","3","Diría que el jefe era responsivo a mi posición respecto a él, los ataques taban bien comunicado, quizá el que es como que se tira para delante (el básico) no se ve tanto por su forma esferica.","Diría que bastante estandar, quizá lo de fijar podría ser un poco más responsivo, pero en general bastante bien.","Sí, principalmente diría se adaptaba a si me alejaba del jefe, también percibí que hacía más ataques de área si me quedaba muy cerca de él.","En general me pareció bien, igual me pareció sorpresivo cuando las bolas de energía me presiguieron, porque no lo había visto antes. "
"2026/06/24 12:58:42 p. m. GMT-4","P26","5","3","4","1","5","2","3","1","5","2","5","5","5","5","1","1","1","1","3","3","2","1","1","1","1","1","4","3","4","2","Me pareció que tenía una buena combinacion de movimientos que no lo hacia tan predecible, puede ser que algunos movimientos podrían ser más difíciles de esquivar, o más impredecibles, pero la idea del jefe en general está bien hecha.","El ""reset"" del ataque fue una mecánica buena para pelear contra los enemigos. El lag que hay para hacer el roll al hacer multiples hits con el ataque era un poco frustrante, pero el resto del gameplay estaba bastante bien :)","No, no me di cuenta que haya aprendido segun mis comportamientos","Me pareció justo, aunque me hubiera gustado que fuera un poco más impredecible o ataques más rápidos."
"2026/06/24 2:10:17 p. m. GMT-4","P26-2","3","1","2","1","5","3","4","2","5","1","5","5","5","5","1","1","1","1","5","5","4","1","1","1","1","1","5","3","4","5","La mayoría de los ataques del jefe me sorprendieron la primera vez que se ejecutaron, así como los ataques reactivos (ataque de espinas al atacar cuerpo a cuerpo). Cuando el combate avanzó me pude adaptar, a excepción de dos ataques (proyectiles con trayectoria no lineal y cuando el jefe se aplana y empieza a seguirte).","Los elementos más interesantes fueron aquellos que no pude encontrar su patrón durante el combate, por ejemplo me costó aprender a esquivar los proyectiles con trayectoria no lineal, así como me costó poder escapar del jefe cuando se aplanó.

Dentro de los elementos frustrantes: 
La distancia mínima para que un enemigo entre en el rango de detección para poder fijarlo (Middle Button) es muy pequeña, esto se evidenció durante el tutorial al usar la feature por primera vez. Además, para que la acción de fijar enemigo se ejecute, la cámara debe estar mirando hacia el objetivo, esto podría un rango un poco mayor para otorgar mayor holgura.
Por otro lado, las animaciones no tienen Exit Time, es decir no se pueden interrumpir ciertas acciones como castear una habilidad o atacar, esto se evidencia sobretodo en los últimos frames de cada animación.
En el estado del arte de los videojuegos, en este esquema de controles, los ataques del jugador suelen llevar un desplazamiento (dirección forward) lo cuál da más dinamismo al personaje.","Sí, la dinámica del combate cambiaba según la distancia a la que me encontraba, además el jefe hacía ataques cuya mejor manera de esquivar sería cambiar el rango. Es decir, si estoy a corta distancia, esquivar los ataques del jefe harían que me posicione a larga distancia, y viceversa.","Me pareció justo porque si bien fue difícil, respeta al jugador y te alienta a ser capaz de superar el nivel correspondiente.
"
"2026/06/25 11:25:19 a. m. GMT-4","P35","4","1","3","1","5","1","4","1","5","1","5","5","5","5","1","1","1","1","2","2","1","1","1","1","1","1","4","4","4","4","El ataque cuando se hacía pared me sorprendió y el ataque a distancia que tenía con las esferaz no esperaba que de devolvieran.","La sala que estaba todo oscuro antes de pasar a la mazmorra me confundió un poco, que estaba acostumbrado a curarme con la r por los juegos souls, al esquivar se demoraba en pararse para volver a atacar, faltó como un botón de cubrirse y el mago muy rapido a melee. El sonido de los pasos, me confundía un poco ya que mi cerebro esperaba ese sonido.","No me dí cuenta que cambió sus acciones haste que leí la pregunta, pero si cambió ya que al principio lanzaba muchos ataques a distancia por lo que cuando estaba a melee se confudió un poco y no me miraba directamente, pero a medida que avanzó la pelea si comenzó a atacarme más rápido, noté que si le pegaba muy seguido a melee, saltaba y agregaba distancia entre los dos.","Bastante justo, por ejemplo con lo del salto, si lo timeaba bien podía pegarle más de 3 veces y lanzarle una bola de fuego, pero si no lo hacía perdía tiempo en acercarme a el."
"2026/06/25 12:23:26 p. m. GMT-4","P22","4","1","3","2","5","1","4","1","5","1","5","5","5","5","1","2","1","1","5","3","4","1","1","1","1","1","5","5","5","5","Me parecio un jefe al inicio poco predecible porque tenía varias mecánicas de ataque, sin embargo, luego ya uno podía ""adivinar"" sus movimientos con mayor facilidad. Sin embargo, el timing o secuencia de estos no pude determinarlos, es decir, el patrón de ataque, debido a la concentración que colocaba en esquivar los ataques y tratar de matarlo.","Respecto al combate contra el jefe final me pareció muy interesante los dos tipos de ataques con bolas, ya que me costó darme cuenta que las tres bolas seguían un target (yo) mientras que las cinco bolas iban en forma radial. Ahora, del combate en general, me pareció algo corregible quizás el tiempo que tarda mi ataque, pues a veces sentía que no tenía la agilidad de ocumar el SPACE para evitar el ataque enemigo. ","No, no sentí aprendizaje por parte del jefe. No noté ningún cambio en su comportamiento a lo largo de la batalla. ","Me pareció un justo comportamiento en el sentido de tenes ataques razonablemente esquivables, por ejemplo."
"2026/06/25 1:11:37 p. m. GMT-4","P19","4","1","4","1","5","1","2","1","5","1","5","5","5","5","2","1","1","1","2","3","2","1","1","1","1","1","3","3","4","3","Predecible pero no tanto, las animaciones previas al ataque tenian un grado de similitud medio-alto creando una especie de juego mental a la hora de como reaccionar a los ataques.","Que los enemigos tuvieran varios patrones de ataque distintos es interesante, sin embargo los enemigos de la mazmorra tienen la ventana de ataque entre sus acciones es bastante reducida y el no poder cancelar un ataque propio, corta un poco el flujo de pensamiento.","Si, hubo un momento donde atacaba constantemente la espalda del jefe resultando en sus primeros 2 ataques siendo el ataque de espinas, pero posteriormente mezclo ataques de salto y de barrido en respuesta.","Bastante justo, no abusaba de ataques molestos como el ataque de charco."
"2026/06/25 5:14:26 p. m. GMT-4","P27","5","1","2","1","3","2","3","1","5","1","4","5","5","5","1","1","1","2","4","2","1","1","1","1","1","2","1","4","5","4","Fue predecible, debido que logré identificar los patrones de ataques del jefe.","Los aspectos que más me llamaron la atención fueron las diferentes clases que podían tener los esqueletos y los ataques del slime","Sí, pues el jefe entendió que habían diferentes ataques que no eran eficaces y los cambios por otros que anteriormente si me había acertado, excepto el ataque del muro que nunca acerto y lo probo un par de veces.","Justo, porque logré tener espacios para curar cuando lo necesitaba y daba a espacio para aprender los patrones de ataque."
"2026/06/26 12:17:32 p. m. GMT-4","P31","4","2","3","1","4","1","4","2","4","1","4","5","5","5","1","2","1","2","3","3","2","3","1","1","1","2","3","4","4","3","Su comportamiento fue sencillo en un comienzo en el sentido de que buscaba al jugador para realizar ataques, aunque estos fueran desconocidos, una vez se conocía su set de movimientos daba confianza acercarse.","Más que algo frustrante, me pareció una limitación no poder centrarse completamente en la magia, primero debido a la velocidad de recarga de maná y al daño similar comparado a la espada, esto hacía que fuera casi obligatorio ir cambiando el estilo de juego.","Sentí que me hacía tener que cambiar de estilo cerca-lejos (melee/magia) continuamente debido a la variedad de sus ataques que también variaba de cerca a lejos.","Me pareció justo su comportamiento y set de movimientos, hacía que el jugador tuviera que aprender como lidiar con cada ataque de forma justa sin muertes instántaneas o cosas de ese estilo."
"2026/06/26 12:55:50 p. m. GMT-4","P30","4","1","2","1","5","1","5","2","3","3","5","5","5","5","1","1","1","1","5","2","1","1","1","3","1","1","4","5","5","4","3/5 porque sabía qué tipo de habilidad iba a utilizar con más frecuencia conmigo, pero de repente igual sacaba habilidades que no me esperaba y que me descolocaban y hacían improvisar. ","una de las cosas fue ue no se pudieran cancelar acciones (rodar, pegar) y otra tener que esperar a que terminara la animación de cada acción, sentía que no me permitía tener reacciones tan rápidas.","Sí, sentí que se ajustó bien a mi forma de jugar como para poder entregarme un desafío. Lo noté más que nada porque a pesar de que tenía varias habilidades, en el combate conmigo utilizaba solo algunas con mucha más frecuencia que otras, lo cual por otro lado igual representa un punto negativo en previsibilidad ya que esto me ayudaba a pensar en qué habilidad iba a venir a continuación con mayor probabilidad","Me pareció justo; por un momento había pensado que había cambiado su velocidad pero me parece que no fue así y creo que eso sería un cambio que aumentaría el nivel del desafío por lo que sugeriría implementarlo."
"2026/06/26 1:27:56 p. m. GMT-4","P21","4","2","3","1","4","2","4","3","5","2","3","5","5","5","1","1","1","4","4","2","3","2","1","1","1","1","1","4","4","3","En un principio preferí ver los patrones de ataques del boss, los cuales luego de ""memorizarlos"" uno los puede predecir con bastante facilidad. En general, me parece que se distinguen bien los distintos ataques y da un muy buen timing para reaccionar.","El movimiento del personaje me pareció bastante logrado y cómodo. Lo único que me pareció que faltaba era un ""cancel"" de animaciones para los ataques, pues una vez uno ejecuta dicha acción, el personaje principal se queda atrapad en la animación, aspecto el cual a la hora de combatir con un enemigo normal o boss puede llegar a ser algo ""injusto"".","Por mi parte no lo sentí, debido a que en mi experiencia abuse un poco del comportamiento de su IA, la cual es bastante similar a la del dark souls 1 a la hora de atacar a los enemigos.","Bastante justo, tanto por los patrones que llegué a ver, que eran bastante intuitivos de predecir, como su comportamiento al moverse. "
"2026/06/26 2:02:33 p. m. GMT-4","P32","3","1","4","1","4","1","5","2","5","3","5","5","5","5","1","1","1","3","3","2","1","3","1","1","1","1","3","3","4","3","Medianamente predecible pero tengo la sensacion de que no llegue a ver todos sus movimientos porque jugue principalmente a corta distancia, el jefe podria haber tenido mas movilidad para evitar eso","me parecio interesante el hecho de tener que comprometer tu movilidad para hacer mas daño, el movimiento base de caminar era un poco frustante en ocasiones pero nada muy relevante","no me parecio que aprendiera a simple vista, mas bien que tenia un sistema de fases. Si claramente se adaptaba a la distancia a la que estabas y en un momento empezo a adaptarse a la posicion desde donde lo estabas atacando pero no lo llamaria aprender","era bastante justo, todos sus ataques tenian distinciones antes de ser realizados lo que permitia saber que habia que hacer, pero para eso habia que prestarle atencion al jefe en si"
"2026/06/26 4:26:39 p. m. GMT-4","P34","4","2","3","2","4","3","4","3","2","1","4","3","4","4","2","3","1","2","4","3","2","1","1","1","1","4","1","3","3","2","Dentro de su set de movimiento variaba su parton de ataque, entonces no era tan predecible, pero tampoco imposible de leer","El ""choque"" de poderes magicos encontre una mecánica interesante, y  en lo frustrante el set de ataque del jugador lo encontre algo tosco","Senti que fue de menos a más, al inicio fue fácil de poder leer, a la mitad del combate me sorprendi, y al final de la pelea ya estaba más familiarisado a sus movimientos","El jefe esta bien balanceado, si te confías te puede arruinar la partida pero es interesante su comportamiento."
"2026/06/30 11:53:04 a. m. GMT-4","P39","4","2","3","1","4","1","3","4","3","2","5","4","5","5","2","2","1","1","4","4","2","1","2","1","1","4","5","5","5","4","Inesperado, buena cantidad de ataques diferentes pero tardaba mucho en hacerlos por lo que uno podía alejarse facilmente.","Fue muy interesante la pelea con el jefe. se sintio que no se quedaba trabado con los misos ataques, y un poco frustante la zona de los tres magos por la falta de daño y la poca transición entre ataques y esquives-.","Si, senti que se daba cuenta cuales ataques costaba más esquivar y los repetia más.","Bastante justo, daba una ventana muy grande de respuesta para esquivar o alejarse, y el tiempo entre ataques era razonable, y dependiendo del tipo de ataque uno encontraba mejor atacar de cerca o de lejos."
"2026/06/30 12:58:10 p. m. GMT-4","P18","4","2","3","2","4","4","3","3","4","2","3","4","4","4","2","1","1","1","4","2","4","3","3","2","2","1","3","4","4","3","Hasta cierto punto, cuando detect{e el patron y despues ya no siguio variando movimiento, mantuvo el mismo patron a traves de toda la barra de vida. ","frustrante me parecio el combo preferia hacer los golpes de a uno. creo que hay potencial en la zona con varios enemigos. ","no me dio la sensacion que aprendiera, pero si yo fui aprendiendo sus movimientos. ","encontre que estaba bien balanceado, me gusto su variedad de ataques y su mecanica, que sea un slime que puede adoptar diversas formas me parecio entretenido y con mucho potencial."
"2026/06/30 1:43:52 p. m. GMT-4","P33","4","2","3","1","5","1","4","3","2","2","5","3","4","4","1","1","1","1","4","4","3","1","3","3","1","1","4","2","4","4","Medianamente, poruqe tenia patrones que dependian de las acciones y distancia, añadiria cambios de patron","me gusto que se enfacara la camara, seria bueno saber cuando swe puede esquivar","si, totalmente, adaptaba el ataque pero no aprednia como tal","esta bastante justo en dificultad para un primer jefe y no se siente mucha presion"
"2026/06/30 2:20:32 p. m. GMT-4","P28","4","1","3","1","5","1","3","2","4","1","5","5","5","5","1","1","1","2","2","1","1","1","1","1","1","1","1","2","3","3","Mas o menos. cosas que esperaba de un enemigo como un slime pero habian patrones que me sorprendieron.","Me parecio interesante el intentar golpear rapido con el ataque sin combo, para tener un espacio de frames donde poder dodgear que en el combo no se puede. No fue frustrante.","No, no lo sentí.","Nada, por costumbre, he jugado juegos con ""one-shot"""
"2026/07/03 11:36:00 a. m. GMT-4","P40","3","1","3","1","4","2","4","4","4","1","4","3","4","3","3","2","2","4","2","3","3","1","3","1","2","2","2","3","3","2","Bastante predecible, los ataques se podían telegrafiar segun distancia, lo que te facilitaba la planeación y entrategia.","Frustrante el tema del buffering de ataques cuando se hacen clicks repetidos, incomodaba la cancelación al rodar. De interesante el sistema de objetos, fácil de explicar, aunque no novedoso, al igual que el puzzle de la mazmorra.","No sentí que aprendiera particularmente de cómo jugaba, se sentía más predefinido, principalmente con cómo hacía los ataques, bastaba con entender qué gatillaba cuál evento para jugar en torno a eso.","Justo, un ataque era particularmente molesto, pero después de entenderlo no supuso complicación. (Ataque de charco)"
"2026/07/03 12:30:03 p. m. GMT-4","P17","3","1","2","1","3","3","5","2","4","1","4","5","5","5","1","1","1","1","3","3","1","1","1","1","1","1","3","3","3","4","Lo encontré relativamente fácil, pero ya tengo experiencia en este tipo de juegos, ","El ataque a veces se apreta dos veces cuando quiero hacerlo una vez, me gustaría que tuviera animation cancel, el combo simple me gustó","No lo noté, pero vi que en la segunda fase hizo ataques nuevos","Bastante justo pero un poco predecible"
"2026/07/03 2:52:13 p. m. GMT-4","P41","4","1","5","1","3","2","2","2","5","1","5","5","5","5","1","1","1","1","4","3","2","1","1","1","1","1","1","5","5","4","Harto, porque me mostraba que iba a hacer algo antes de hacerlo, como que se preparaba para el ataque y eso me hacía retroceder","que al spamear los click es juego recuerda cuantas veces clickeaste, entonces no puedes cancelar los ataques y tienes que ser cuidadoso entonces de no spamear clicks, porque te puedes quedar pegado atacando cuando en verdad quieres esccapar, buenisimo","no, el jefe iba a lo loco, me atacaba pero no sentí que cambió en función de mi comportamiento","justo, sus ataques estaban coreografiados, y si aparecía un movimiento que no había visto me daba miedo y retrocedía para ver que hacía el mono. Ah y lo que sí cuando el slime te persigue se mueve un poco más rápido que uno, entonces me alcanza por más que corra"
"2026/07/03 3:25:23 p. m. GMT-4","P38","4","1","4","1","4","1","5","1","3","2","5","4","4","5","1","1","1","3","4","4","1","1","1","1","1","1","3","2","4","3","me parecio un buen nivel de predictibilidad, porque despues de verlo un poco ya sabia que cosas hacia, pero no al nivel de que se hace aburrida la pelea","me gustaria que fuera mas dinamico el movimiento sobre todo al usar la bola de fuego.","si, no podia spamear bolas de fuego porque se agachaba","me parecio un poco roto cuando se esconde en el piso"
"2026/07/03 4:47:38 p. m. GMT-4","P37","4","2","4","4","2","2","5","3","3","1","5","5","5","5","1","1","1","1","4","3","3","2","1","1","1","1","2","3","4","2","Predecible, la recuperacion de los ataques del jefe eran unpoco lentos, especialmente el de bloque. Se sintio mas facil que la dungeon anterior","Los combos de ataque quitaban demasiada movilidad al personaje, y quizas tiene mucho input lag","No, yo aprendi mas de el","El ataque de charco, no entendi muy bien el como esquivarlo. "
